Oklahoma,Oklaho Les,Oklaho Leo,Oklaho,Oklah,Okla,OU,Oklahoma Ard & Chi,Oklahoma C,Oklahoma Campbell & ,Oklahoma Cherry & Ba,Oklahoma Cherry & Ya,Oklahoma Crawford & Schleic,Oklahoma Juarez & Sm,Oklahoma Juarez & Wh,Oklahoma Langel & W,Oklahoma Leonardi & Master,Oklahoma Massey & Ma,Oklahoma Musapeta & Hurt,Oklahoma P,Oklahoma Pickens & Sanc,Oklahoma Plange & Sebu,Oklahoma Pruitt & Wit,Oklahoma Robbins & Ya,Oklahoma Sanchez & Pick,Oklahoma Schexnayder & B,Oklahoma Sebunya & Pla,Oklahoma Smith & W,Oklahoma VanHeteren & Noll,Oklahoma Wall & Shel,Oklahoma Wyde & Schexnay,,,,
Oregon,Oregon Mallon & Schaf,Oregon Viales & Ged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepperdine,Pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pittsburgh,Pittsb,Pitt,Pittsburgh Budny & Rama,Pittsburgh Budny & Woodf,Pittsburgh Piekos & Chebr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puget Sound,Puget Sound Clare & Donne,Puget,PugSou,PugetSound,UPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richmond,Richm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rochester,Roches B,Roches,Roche,Roch,ROCH,Rochester ,URoche,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rutgers-Newark,Rutgers,Rutger,Rutge,RutU,RUTG,Rutgers-Newark Haughton & Staff,Rutgers-Newark Murphy & N,Rutgers-Newark Smith & Rand,Rutgers-Newark Stafford & Carr,Rutgers-Newark Stafford & Haugh,Rutgers-Newark Williams & Mur,RutgersNewark,,,,,,,,,,,,,,,,,,,,,,
Sacramento State,SacState,SacSta,Sac State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samford,Samfor Windus & Davenp,Samfor Davis & Stap,Samfor Davis & Ben,Samfor Davenport & Bro,Samfor Broadnax & S,Samfor,SamUni,SamU,Samford - Carley and Tho,Samford Kiarra Broadnax & Max Willin,,,,,,,,,,,,,,,,,,,,,,,,
